,state_code,state_name,site_number,local_site_name,county_code,total_params,Ozone,Carbon monoxide,Nitrogen dioxide (NO2),Wind Speed,Wind Direction,Relative Humidity ,Outdoor Temperature,Barometric pressure
0,01,Alabama,1003,Fairfield,073,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,01,Alabama,0014,HUNTSVILLE OLD AIRPORT,089,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,04,Arizona,3002,CENTRAL PHOENIX,013,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,04,Arizona,1004,NORTH PHOENIX,013,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,04,Arizona,2001,GLENDALE,013,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,04,Arizona,3003,SOUTH SCOTTSDALE,013,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4,04,Arizona,1011,22ND & CRAYCROFT,019,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,05,Arkansas,1002,NLR AIRPORT,119,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,06,California,0001,Barstow,071,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,06,California,1006,Alpine,073,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2,06,California,0004,Vallejo,095,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,06,California,1001,Los Gatos,085,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,06,California,1004,Upland,071,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,06,California,1103,Los Angeles-North Main Street,037,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,06,California,3001,El Rio-Rio Mesa School #2,111,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,06,California,5001,La Habra,059,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,06,California,8001,Rubidoux,065,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9,06,California,0002,Azusa,037,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,06,California,1201,Reseda,037,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
