,state_code,state_name,site_number,local_site_name,county_code,total_params,Ozone,PM2.5 - Local Conditions,Carbon monoxide,Outdoor Temperature,Relative Humidity ,Solar radiation,Wind Direction,Wind Speed,Nitrogen dioxide (NO2),Ultraviolet radiation,Barometric pressure,Wind Direction - Scalar,Wind Speed - Resultant,Wind Speed - Scalar,Wind Direction - Resultant
0,01,Alabama,1003,Fairfield,073,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,01,Alabama,0003,CHICKASAW,097,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,01,Alabama,0004,HELENA,117,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,01,Alabama,0010,"FAIRHOPE, Alabama",003,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,01,Alabama,0011,SOUTHSIDE,055,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,01,Alabama,0014,HUNTSVILLE OLD AIRPORT,089,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,01,Alabama,0023,North Birmingham,073,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,01,Alabama,1005,McAdory,073,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,01,Alabama,1002,"MOMS, ADEM",101,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,01,Alabama,1010,Leeds,073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,01,Alabama,2005,BAY ROAD,097,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,01,Alabama,5003,Corner,073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,01,Alabama,6002,Tarrant Elementary School,073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,02,Alaska,0003,Denali NP & PRES - Headquarters,068,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,04,Arizona,9997,JLG SUPERSITE,013,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,04,Arizona,0019,WEST PHOENIX,013,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,04,Arizona,3002,CENTRAL PHOENIX,013,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,04,Arizona,8001,Grand Canyon NP - The Abyss,005,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,04,Arizona,1011,22ND & CRAYCROFT,019,6.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,04,Arizona,1032,ROSE ELEMENTARY,019,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,04,Arizona,4011,BUCKEYE,013,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,04,Arizona,1034,COACHLINE,019,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,04,Arizona,1030,GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,019,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,04,Arizona,0119,Petrified Forest NP - South Entrance,017,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,04,Arizona,0021,SAGUARO PARK,019,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
